date,account,total_pnl,num_trades,avg_pnl,win_rate,total_volume,avg_leverage,Classification
1/5/2023,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0,3,0,0,476.99281,1,Fear
5/12/2023,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0,9,0,0,50005.82917,1,Neutral
1/1/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,18,-7.196192222,0.055555556,264239.5126,1,Greed
1/2/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0,6,0,0,2008.184771,1,Greed
1/3/2024,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409,137,60.17694459,0.934306569,472974.6631,1,Greed
1/4/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,29,0.028997897,0.068965517,134989.4613,1,Greed
1/4/2024,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.122467,48,52.23171806,0.833333333,204481.0395,1,Greed
1/5/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,14,0,0,87025.4638,1,Greed
1/6/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,91.510419,25,3.66041676,0.36,12834.62374,1,Greed
1/7/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1202.488212,13,92.49909323,0.692307692,97200.55572,1,Greed
1/7/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3863.351096,51,75.75198227,0.333333333,265469.5861,1,Greed
1/8/2024,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0,1,0,0,0.738558711,1,Greed
1/8/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,13,0,0,143994.9991,1,Greed
1/8/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,167.080017,34,4.914118147,0.117647059,48714.34987,1,Greed
1/8/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0,9,0,0,35064.42504,1,Greed
1/9/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,137.433093,12,11.45275775,0.416666667,12359.66383,1,Extreme Greed
1/10/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,4,0,0,139954.3213,1,Greed
1/11/2024,0x2c229d22b100a7beb69122eed721cee9b24011dd,-0.09906,14,-0.007075714,0.285714286,29949.93014,1,Extreme Greed
1/11/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1040.574796,9,115.6194218,0.222222222,231031.1027,1,Extreme Greed
1/12/2024,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0,1,0,0,0.062531381,1,Greed
1/12/2024,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4458.25495,193,23.09976658,0.502590674,47695.6176,1,Greed
1/12/2024,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,13.566929,3,4.522309667,0.666666667,34.09516028,1,Greed
1/12/2024,0x39cef799f8b69da1995852eea189df24eb5cae3c,0,1,0,0,199.81188,1,Greed
1/12/2024,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,197.422418,4,49.3556045,0.5,1434.857507,1,Greed
1/12/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,337.835516,27,12.51242652,0.592592593,600205.8512,1,Greed
1/12/2024,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0,3,0,0,2998.770608,1,Greed
1/12/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,1169.432253,123,9.507579293,0.447154472,109899.3057,1,Greed
1/12/2024,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,34709.85243,61,569.0139742,0.803278689,52243.58492,1,Greed
2/1/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,17,46.11641859,0.470588235,121348.7299,1,Greed
2/2/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,456.423473,42,10.86722555,0.30952381,474278.4338,1,Greed
2/3/2024,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,24,69.77979863,0.875,60253.78336,1,Greed
2/3/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,7,-206.2592239,0,2943.7591,1,Greed
2/4/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.760812,37,23.88542735,0.324324324,224664.5976,1,Greed
2/4/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0,4,0,0,14999.878,1,Greed
2/6/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,192.906947,93,2.074268247,0.365591398,29464.54648,1,Greed
2/7/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2421.253116,18,134.514062,0.722222222,33347.46842,1,Greed
2/8/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,36,0,0,295967.1238,1,Greed
2/8/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,228.247701,15,15.2165134,0.8,29767.08196,1,Greed
2/8/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,554.12049,12,46.1767075,0.416666667,70586.15078,1,Greed
2/9/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,2,0,0,30000.42477,1,Greed
2/10/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,4,0,0,99954.34189,1,Greed
2/11/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0,2,0,0,39999.9936,1,Greed
2/12/2024,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1283.846047,140,9.170328907,0.521428571,19651.6455,1,Greed
2/12/2024,0x2c229d22b100a7beb69122eed721cee9b24011dd,16196.86485,53,305.6012235,0.566037736,124483.2366,1,Greed
2/12/2024,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0,1,0,0,1.85E-06,1,Greed
2/12/2024,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0,1,0,0,46692.72,1,Greed
2/12/2024,0x4f93fead39b70a1824f981a54d4e55b278e9f760,754.7378,17,44.39634118,0.352941176,300751.2325,1,Greed
2/12/2024,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0,6,0,0,2043.92009,1,Greed
2/12/2024,0x8477e447846c758f5a675856001ea72298fd9cb5,254.15562,8,31.7694525,0.125,13343.4317,1,Greed
2/12/2024,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,0,44,0,0,78277.28941,1,Greed
3/1/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,67,12.92560458,0.417910448,394499.3684,1,Extreme Greed
3/2/2024,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,223.309187,56,3.987664054,0.107142857,603819.9888,1,Extreme Greed
3/3/2024,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,79,105.8365347,0.683544304,390745.677,1,Extreme Greed
